,CATAID,WHAN classification,BPT classification
6061,24345,unclassified,unclassified
6062,24346,SF,unclassified
6063,24347,retired,unclassified
6064,24348,retired,unclassified
6065,24349,unclassified,unclassified
6066,24350,unclassified,unclassified
6067,24351,retired,seyfert
6068,24352,SF,SF
6069,24353,SF,composite
6070,24354,SF,SF
6071,24355,SF,SF
6072,24356,unclassified,unclassified
6073,24357,unclassified,unclassified
6074,24358,sAGN,composite
6075,24359,unclassified,unclassified
6076,24360,retired,unclassified
6077,24361,SF,SF
6078,24362,SF,unclassified
6079,24363,SF,SF
6080,24364,SF,composite
6081,24365,sAGN,composite
6082,24366,SF,SF
6083,24367,wAGN,composite
6084,24368,SF,unclassified
6085,24369,SF,SF
6086,24370,SF,SF
6087,24371,unclassified,unclassified
6088,24372,SF,unclassified
6089,24373,SF,SF
6090,24374,retired,LINERs
6091,24375,wAGN,seyfert
6092,24376,SF,unclassified
6093,24377,SF,SF
6094,24378,unclassified,unclassified
6095,24379,retired,LINERs
6096,24380,SF,unclassified
6097,24381,SF,SF
6098,24382,SF,SF
6099,24383,unclassified,unclassified
6100,24384,unclassified,unclassified
6101,24385,retired,unclassified
6102,24386,SF,SF
6103,24387,SF,unclassified
6104,24388,SF,composite
6105,24389,retired,unclassified
6106,24390,retired,unclassified
6107,24391,SF,SF
6108,24392,retired,unclassified
6109,24393,SF,SF
6110,24394,unclassified,unclassified
6111,24395,SF,unclassified
6112,24396,retired,unclassified
6113,24397,SF,unclassified
6114,24398,SF,SF
6115,24399,SF,SF
6116,24400,SF,unclassified
6117,24401,SF,SF
6118,24402,SF,unclassified
6119,24403,SF,SF
6120,24404,SF,SF
6121,24405,retired,seyfert
6122,24406,unclassified,unclassified
6123,24407,SF,unclassified
6124,24408,unclassified,unclassified
6125,24409,unclassified,unclassified
6126,24410,sAGN,composite
6127,24411,retired,unclassified
